[2023-01-04T09:12:34.169506+00:00] Portfolios.WARNING: Foo [] []
[2023-01-04T09:12:34.311646+00:00] Portfolios.ERROR: Bar [] []
[2023-01-04T09:17:57.512921+00:00] Portfolios.WARNING: Foo [] []
[2023-01-04T09:17:57.643423+00:00] Portfolios.ERROR: Bar [] []
[2023-01-04T09:23:12.345632+00:00] Portfolios.ERROR: Nutiko klaida [] []
[2023-01-04T09:40:10.542470+00:00] Portfolios.ERROR: Nutiko klaida [] []
[2023-01-04T09:40:31.449096+00:00] Portfolios.ERROR: Nutiko klaida [] []
[2023-01-05T14:32:21.590205+00:00] Portfolios.ERROR: Neteisingi prisijungimo duomenys [] []
[2023-01-05T14:32:25.271978+00:00] Portfolios.ERROR: Neteisingi prisijungimo duomenys [] []
[2023-01-05T14:32:28.991226+00:00] Portfolios.ERROR: Neteisingi prisijungimo duomenys [] []
[2023-01-05T14:32:48.272868+00:00] Portfolios.ERROR: Neteisingi prisijungimo duomenys [] []
[2023-01-05T14:32:52.224331+00:00] Portfolios.ERROR: Neteisingi prisijungimo duomenys [] []
[2023-01-05T14:32:55.654256+00:00] Portfolios.ERROR: Neteisingi prisijungimo duomenys [] []
[2023-01-05T14:34:21.612896+00:00] Portfolios.ERROR: Neteisingi prisijungimo duomenys [] []
[2023-01-05T14:34:24.762303+00:00] Portfolios.ERROR: Neteisingi prisijungimo duomenys [] []
[2023-01-05T14:42:02.774460+00:00] Portfolios.WARNING: Neteisingi prisijungimo duomenys [] []
[2023-01-05T14:42:06.434936+00:00] Portfolios.WARNING: Neteisingi prisijungimo duomenys [] []
[2023-01-05T14:50:37.309427+00:00] Portfolios.WARNING: Neteisingi prisijungimo duomenys [] []
[2023-01-06T06:55:07.340369+00:00] Portfolios.WARNING: Neteisingi prisijungimo duomenys [] []
[2023-01-06T12:08:50.938991+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T12:08:59.308549+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T12:09:55.771175+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T12:10:16.251589+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T12:10:17.894580+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T12:10:21.515719+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T14:29:22.512402+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T14:30:28.148070+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T14:30:28.461486+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T14:42:38.233098+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T14:42:38.505784+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T14:50:35.124061+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T14:50:35.425669+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T14:53:08.877970+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T14:53:10.532467+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T15:01:17.120935+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T15:01:17.352420+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T15:01:22.532707+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T15:01:22.699027+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T15:01:27.157444+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T15:01:27.359483+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T15:01:28.536249+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T15:01:28.752852+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T15:01:29.361967+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T15:01:29.548320+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T15:01:30.793342+00:00] Portfolios.WARNING: 404 [] []
[2023-01-06T15:01:30.980385+00:00] Portfolios.WARNING: 404 [] []
[2023-01-08T15:56:09.805672+00:00] Portfolios.WARNING: 404 [] []
[2023-01-08T15:56:10.074614+00:00] Portfolios.WARNING: 404 [] []
[2023-01-09T09:03:46.868093+00:00] Portfolios.WARNING: 404 [] []
[2023-01-09T09:03:48.444215+00:00] Portfolios.WARNING: 404 [] []
[2023-01-19T08:51:59.769803+00:00] Portfolios.ERROR: Neuzpildyti visi laukai [] []
[2023-01-19T08:52:00.439689+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T08:52:11.108334+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T08:52:15.720658+00:00] Portfolios.ERROR: Neuzpildyti visi laukai [] []
[2023-01-19T08:52:16.083958+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T08:52:32.817378+00:00] Portfolios.ERROR: Neuzpildyti visi laukai [] []
[2023-01-19T08:52:33.162681+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T08:52:38.696856+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T11:03:14.471189+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T11:03:15.999826+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T11:03:21.272348+00:00] Portfolios.ERROR: Neuzpildyti visi laukai [] []
[2023-01-19T11:03:21.822148+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T11:03:25.205004+00:00] Portfolios.ERROR: Neuzpildyti visi laukai [] []
[2023-01-19T11:03:25.535835+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T11:03:29.469412+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T11:03:38.495294+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T11:03:56.662798+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T11:04:02.599301+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T11:04:06.653507+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T12:00:52.519264+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T13:09:59.794262+00:00] Portfolios.WARNING: Adresas: [GET] /portfolio nerastas [] []
[2023-01-19T13:10:01.308549+00:00] Portfolios.WARNING: Adresas: [GET] /js/mano.js nerastas [] []
[2023-01-19T13:10:02.681369+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T13:10:10.034536+00:00] Portfolios.WARNING: Adresas: [GET] /portfolio nerastas [] []
[2023-01-19T13:10:11.276929+00:00] Portfolios.WARNING: Adresas: [GET] /js/mano.js nerastas [] []
[2023-01-19T13:10:12.644198+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T13:10:22.074702+00:00] Portfolios.WARNING: Adresas: [GET] /portfolio nerastas [] []
[2023-01-19T13:10:23.201252+00:00] Portfolios.WARNING: Adresas: [GET] /js/mano.js nerastas [] []
[2023-01-19T13:10:24.319917+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T13:12:39.872869+00:00] Portfolios.WARNING: Adresas: [GET] /js/mano.js nerastas [] []
[2023-01-19T13:12:41.270562+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T13:12:42.943137+00:00] Portfolios.WARNING: Adresas: [GET] /portfolio nerastas [] []
[2023-01-19T13:12:44.176593+00:00] Portfolios.WARNING: Adresas: [GET] /js/mano.js nerastas [] []
[2023-01-19T13:12:45.505166+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T13:13:12.727992+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T13:13:30.637509+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T13:13:31.971249+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T13:13:33.166504+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T13:35:27.050283+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-19T13:35:27.488081+00:00] Portfolios.WARNING: Adresas: [GET] /person nerastas [] []
